nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
신당동마린룩,좋아요~ 생각보다 튼튼하고 깔끔하고 핏좋은거 같아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
yjh9606,길이랑 두께 모두 좋습니다. 다만두께에 비해 허리 끈이 얇은감이 있어요!,4.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
현란한신촌호보백,일단 키가 186 정도 잌데 꽤 길게 나왔어요. 만족해여,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
맨발소년,사이즈는 정사이즈이고 상태도 좋고 입기도 좋아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
뚜렷한라임쇼핑백,가성비가 좋은거 같아요 무난하게 잘 샀어요! 담에도 살거 같아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
개운한핑크터틀넥,무난한 핏에 무난한 디자인입니다 사이즈는 정사이즈이고 기장은 살짝 깁니다,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
yoohy2,핏이 딱 좋아요. 와이드핏은 어울리지가 않아서 레귤러핏을 많이 구매 중인데 길이와 통이 딱 좋아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
_나는나_,"아주 편하고 지금 입고 다니기 너무 좋아요, 1개 구매 후 추가로 몇개 구매해서 본갈아 입고 다닙니다, 편한옷 찾으시는 분 강추",4.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
_나는나_,"아주 편하고 지금 입고 다니기 너무 좋아요, 1개 구매 후 추가로 1개 구매해서 본갈아 입고 다닙니다, 편한옷 찾으시는 분 강추",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
또태,기장도 길고 오버핏이에요 널널하고 편하게 입고다닐 수 있어요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
ㄱㄴㄷㄹ12345,편하게 평상시 입기 좋은 스웨트 팬츠입니다 무난해요!,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
쾌활한영국버튼,산책할때 잘 입고 있습니다. 넘 편하고 좋아요. 30~31 편하게 잘 앚아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
bigbro96,2xl 작으면 어떡하나 걱정했는데 딱맞아요 183cm 112kg인데 아주 만족스러워요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
갈색구두,집에서 편하게 입으려고 샀는데 가격도좋고 편합ㄴ디ㅏ,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
꿈많은인사동진주,길이감이나 재질이 좋아요 두꺼운 편이고 초겨울까지 입어도 좋을거 같아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
가벼운방배머플러,"기장도 적당하고 오버핏으로 이쁘게 잘 나왓네요

편하게 데일리로 입기 좋아요",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
양가위가위,"스타일 좋아요 허리 밴드 다 좋아요
근데 두번 입으니 몇달 입은듯한",4.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
모범적인발리잠옷,적당한핏감과 적당한두께로 요즘같은날에 입기좋네요!,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
오션리그,"이거 그냥입을게요
터져서 와서 교환하기도 귀찮고
수선따로 해서 입을게요",3.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
JungerBonner!,"소재도 좋고 사이즈도 딱 맞습니다.
평소에 입기 좋습니다.",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
주말엔카멜글램펌,예쁩니다 편해요 무신사 스탠다드 좋습니다요오,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
럭셔리한명동슬림,배송도 빠르고 제가 원하는 핏감이랑 딱 맞아떨어져서 휘뚜루마뚜루 잘 입을거 같아요!!,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
페르토레스,"적당한 두께감, 무난한 가격, 무릎발사만 안되길!바라요",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
강남농부89,"가격대비 퀄 좋고, 위아래 셋업으로 입기 좋아요
두께는 두껍지 않아 초겨울 까지는 단독착용 가능할거 같고 편합니다",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
옷사고 ㅎㅎ,타 상품에 비해서 저렴하고 빨때 줄지 않아서 좋았습니다,4.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
옷사고 ㅎㅎ,타 상품들과 비교해서 저렴하고 빨때 줄지 않아서 좋았습니다,4.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
Sw0046,은동할 때 입기 좋고 두께감 좀 있어서 워엄할 때 좋네요ㅔ,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
순수한도쿄트위드,"핏도 마음에 들고 길이도 마음에 들고 두께도 마음에 들어요.
이제 몇년은 걱정없네요.",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
시토리인경민,"저렴한 가격에 고퀄리티 바지입니다.
질이 좋아 착용감도 좋고 핏도 얘뻐서 만족합니다.",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
느린주주,작년에 산거 다시 주문 진짜 추울때빼고 교복처럼 입는 문신템,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
여유있는서울후드,"177.98키로잘맞아요^^
길이가조금더길면좋겠어요",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
또깡이다,너무 이쁘고 편하고 좋아요. 최고예요. 감사합니다,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
청순한자색넥타이,아래 밴딩 처리가 되어있어서 좀더 캐주얼한 느낌 이에요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
청순한자색넥타이,"다리가 길어 보이는 디자인이고, 어디나 매칭하기 좋아요.",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
